pt,title,lokasi,gaji,level,pendidikan,tipe_pekerjaan,description,link,post_date
"PT. Rizki Prima Sakti","Staff Admin Project","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Rizki Prima Sakti Bergerak dibidang Kontruksi Telekomunikasi membutuhkan karaywan/i untuk staff admin yang bertugas membantu eksekutif dalam hal mengorganisir dan memantau tugas administratif.

Tanggung Jawab Pekerjaan :

– Merekap data
– Menginput data
– Membuat laporan pekerjaan
– Berkoordinasi dengan tim

Keahlian :

– Menguasai Excel berserta rumus rumusnya (Sum, Count if, Vlookup, Pivot)
– Memiliki komunikasi yang baik

Kualifikasi :

– Pria/Wanita maksimal 35 tahun
– Pendidikan SMA/SMK Sederajat
– Berpengalaman dibidang yang sama min 1 tahun

Waktu Bekerja :
Jam 8 s/d 17, Senin – Jumat
Tunjangan :

Range Gaji 3 – 3.3 Jt
Medical Allowance
THR",https://www.loker.id/administrasi/staf-admin/staff-admin-project-pt-rizki-prima-sakti-jakarta-barat.html,"Updated:  Maret 9, 2024"
"PT Tumbuh Sehat Makmur","Staff Bar","DKI Jakarta",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT Tumbuh Sehat Makmur merupakan perusahaan yang bergerak di industri Hospitality/Katering. Kami saat ini sedang membutuhkan kandidat terbaik yang memiliki pasion dalam meracik minuman sesuai resep outlet sebagai staff Bar.

Tanggung Jawab Pekerjaan :

– Atur penghitung barang sebelum dimulainya jam operasi
– Menangani permintaan stok, pengisian ulang, dan pembuangan stok bekas
– Menangani semua produksi minuman sesuai dengan standar dan resep outlet, dengan kualitas dan kesegaran tertinggi
– Mengoperasikan dan menggunakan POS
– Melakukan inventarisasi stok pada dasar harian
– Tangani dengan pembersihan umum peralatan bar outlet
– Sambut dan pisahkan tamu dengan ramah
– Lakukan upselling

Keahlian :

– Kuat dalam pengetahuan F&B terkini
– Memiliki kemampuan komunikasi yang baik

Kualifikasi :

– Pria
– Usia Max 27 tahun
– Domisili Jabodetabek
– Diutamakan yang berpengalaman",https://www.loker.id/restaurant/bartender/staff-bar-pt-tumbuh-sehat-makmur-dki-jakarta.html,"Posted Date: Januari 11, 2024"
fomu,"Body Repair Finishing","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","FOMU merupakan perusahaan (PT.) yang bergerak di bidang teknologi 3D printing.  Saat ini sedang membutuhkan Staff Body Repair Finishing yang akan melakukan treatment finishing suatu produk dan mensortir kualitas produk (quality control) sehingga layak untuk diserahkan kepada customer.

Tanggung Jawab Pekerjaan :

Melakukan tahap akhir (finishing) suatu unit barang pesanan, antara lain:
– BASIC BODY REPAIR (dempul, amplas, cat, perbandingan thinner)
– Teknik pebgecatan 1.2 spray , 0.8 spray , 0.1- 0.3 spray
– Teknik pembentukan NUT BODY
– Quality control pesanan sehingga siap diberikan kepada customer dengan keadaan baik.

Keahlian :

– BASIC BODY REPAIR (dempul, amplas, cat, perbandingan thinner)
– Teknik pebgecatan 1.2 spray , 0.8 spray , 0.1- 0.3 spray
– Teknik pembentukan NUT BODY
– MENGERTI PROSES RESIN dan SILICON RUBBER
– Menguasai jenis-jenis karakteristik material finishing seperti plastik, besi, kayu, resin. Diutamakan memahai material plastik dan resin
– Menguasai konsep hitungan pemakaian / konsumsi bahan material yang tepat
– Mengerti dan memahami pengoperasian alat-alat finishing
– Menguasai teknik pengamplasan, teknik dempul, teknik spray
– Mengerti dan memahami finishing planning

Kualifikasi :

– Pria
– Pendidikan SMA/SMK Sederajat
– Lulusan baru silahkan melamar

Waktu Bekerja :
Senin s/d Jumat pk. 10.00-17.00 , Sabtu pk 10.00-14.00",https://www.loker.id/automotive/body-repair/body-repair-finishing-fomu-jakarta-barat.html,"Posted Date: Januari 11, 2024"
"PT CHANDRA ANUGRAH GEMILANG","Staff Operasional Gudang (Staff Inbound)","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","PT Chandra Anugrah Gemilang merupakan perusahaan yang saat ini sedang mencari staff inbound gudang untuk membantu hitung barang, quality control dan packing.

Tanggung Jawab Pekerjaan :

1. Menghitung barang & mem-barcode barang yang baru datang
2. Melakukan quality control (memisahkan barang bagus dan defect) & pendataan
3. Melakukan pendataan inbound
4. Mencari lokasi barang retur

Keahlian :

– Bisa menggunakan excel

Kualifikasi :

– Wanita, max 28 tahun
– Pendidikan SMA/Sederajat
– Bisa bekerja dengan cepat
– Pengalaman menjadi staff gudang sebelumnya dan mengerti alur kerja online shop

Waktu Bekerja :
Senin – Jumat 08.00-17.00 dan Sabtu 08.00-15.00
Tunjangan :

– Uang makan

Insentif :

– Uang lembur
– Bonus per target
– Bonus kerajinan",https://www.loker.id/transportation-logistics/warehouse/staff-operasional-gudang-staff-inbound-pt-chandra-anugrah-gemilang-jakarta-utara.html,"Updated:  April 7, 2024"
"PT. RAJAWALI LINTAS SAMUDERA","Krani / Tallyman","Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","Kami PT. RajawaliLintasSamudera, perusahaan yang bergerak dalam bidang Transportasi Jalur Laut Domestik, saat ini sedang membutuhkan tenaga Staff Krani/Tallyman

Tanggung Jawab Pekerjaan :

1.	Memeriksa kondisi container sebelum stuffing
2.	Melakukan pengecekan kondisi dan jumlah barang
3.	Membantu proses muat barang kedalam armada yang akan dikirim kepalabuhan
4.	Memastikan nama barang, jumlah dan kondisi barang sesuai dengan surat jalan
5.	Melakukan pengaturan muat barang kedalam armada
6.	Monitoring dan menginformasikan kepada customer tentang biaya yang akan timbul dalam proses stuffing
7.	Berkoordinasi dengan supir armada dan PIC customer dalam hal pemasangan segel
8.	Memberikan laporan hasil teli kepada kantor pusat (Maksimal 1×24 Jam)
9.	Membuat laporan kerja/evaluasi di tempat pabrik (penempatan yang ditentukan oleh kantor)

Keahlian :

–	Mampu mengoperasikan Forklift
–	Kemampuan berkoordinasi dengan supir armada /truk
–	Pemahaman terhadap prosedur di gudang customer
–	Kemampuan bernegosiasi dan berkomunikasi
–	Mampu mengatur muat barang di truk/container

Kualifikasi :

–	Pria , Usia 20-30 Tahun
–	Pendidikan SMK/SMA Sederajat
–	Berpengalaman dibidang yang sama minimal 1 tahun.

Waktu Bekerja :
Senin – Sabtu
Tunjangan :

-Uang makan

Insentif :

-Insentif Kehadiran",https://www.loker.id/transportation-logistics/krani-tallyman-pt-rajawali-lintas-samudera-jakarta-utara-2.html,"Updated:  Januari 11, 2024"
"LACH AND MARGOT","Sales Admin","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","LACH AND MARGOT merupakan perusahaan yang bergerak di dunia Fashion menjual tas, dompet, tali pinggang dan lainnya, membutuhkan staff Sales Admin yang berkompeten dibidangnya.

Tanggung Jawab Pekerjaan :

– Melayani dan merespon chat  customer dengan informatif dan proaktif (WA, E-commerce :Tokopedia, Shopee, dan tiktok)
– Memberi Saran dan Meyakinkan customer akan produk yang kita jual agar dapat closing di Lach And Margot
– Mengunggah produkproduk Lach And Margot ke ecommerce (tokopedia dan shopee, dan Tiktok)
– Memasang iklan di ecommerce
– Mengunggah Content Di Sosmed perusahaan terutrama di Shoppe dan Tiktok. 

Keahlian :

– Menguasai Microsoft (words,Excel)
– Bisa mengoperasikan e-commerce tiktok, shopee, tokopedia, dsb
– Memiliki Komunikasi yang baik dan mudah di mengerti
– Memiliki Skill Basic Photography 

Kualifikasi :

– Wanita
– Berumur min 19-30 tahun
– Pendidikan minimal SMA/SMK/S1 Komunikasi
– Berpengalaman di bidang Sales selama min. 1 tahun 

Waktu Bekerja :
senin-sabtu dari pkl 9pagi – 5.30 sore
Tunjangan :

Uang Makan per hari
Bonus Absensi (sesuai dengan TnC)",https://www.loker.id/penjualan/e-commerce/sales-admin-lach-and-margot-jakarta-utara-2.html,"Posted Date: Januari 10, 2024"
"MBC Group","Admin Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Salah satu anak perusahaan kami (MBC Group) saat ini sedang membutuhkan beberapa orang admin perkantoran.

Tanggung Jawab Pekerjaan :

Melakukan pengetikan data
Melakukan penginputan data ke komputer
Memfilling data/surat/dokumen
Membuat laporan harian
Melakukan pembuatan  dan penyusunan laporan internal dan eksternal
Melaksanakan tugas lainnya sesuai arahan atasan

Keahlian :

Menguasai penggunaan Microsoft Word dan excel
Mampu menyusun dokumen dengan rapi, baik dan benar
Bisa membuat dan menyusun laporan internal dan eksternal

Kualifikasi :

Pria/Wanita maksimal 30 tahun
Minimal SMA/SMK
Fresh graduate silahkan melamar
Bersedia di tempatkan di daerah roxy 

Waktu Bekerja :
senin- jumat jam 8 pagi – 4 sore
Tunjangan :

Uang Makan

Insentif :

Insentif bonus, lembur dan Tunjangan Hari Raya.",https://www.loker.id/administrasi/staf-admin/admin-staff-mbc-group-jakarta-barat.html,"Updated:  Februari 28, 2024"
"PT. SURYA KREASI PRATAMA","Graphic Designer","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Surya Kreasi Pratama merupakan perusahaan yang bergerak di industri penerbitan / Percetakan. Kami saat ini sedang membutuhkan Staff Graphic Designer yang kompeten dibidangnya yang bertugas untuk membuat rencana dan konsep dari segala informasi dan material yang diberikan oleh klien.

Tanggung Jawab Pekerjaan :

– Mengolah file FA customer hingga menjadi file siap cetak (offset dan digital printing)
– Memadukan unsur seni, visual, dan bahasa dalam sebuah desain untuk menyampaikan suatu pesan

Keahlian :

– Menguasai tools Adobe Photoshop, Illustrator dan Corel draw
– Mampu berkomunikasi dengan Team maupun Customer
– Memiliki ketelitian dan tanggung jawab yang baik

Kualifikasi :

– Pria / Wanita
– Usia max 35 tahun
– Pendidikan min. SMA/SMK Sederajat
– Pernah bekerja di industri percetakan
– Bertempat di tomang, jakarta barat",https://www.loker.id/desain-arsitektur/grafis/graphic-designer-pt-surya-kreasi-pratama-jakarta-barat.html,"Posted Date: Januari 5, 2024"
"PT. SURYA KREASI PRATAMA","Sales Marketplace","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT. Surya Kreasi Pratama merupakan perusahan yang bergerak di industri percetakan, sedang membuka lowongan pekerjaan sebagai staff Sales marketplace yang berkompeten dibidangnya.

Tanggung Jawab Pekerjaan :

– Menjawab chat customer
– Menjelaskan produk ke customer
– Mengeluarkan SPK produksi
– Mengontrol proses packing (berkoordinasi dengan tim packing) hingga pengantaran (pickup di sistem)
– Memproses keluhan customer
– Promosi barang baru dengan broadcast ke customer

Keahlian :

– Menguasai accurate V
– Menguasai microsoft office dan PAINT
– Menguasai dokumentasi
– E-commerce

Kualifikasi :

– Wanita
– Umur 18-25 tahun
– Pendidikan minimal SMA/SMK
– Pengalaman Minimal admin sales 1 tahun

Waktu Bekerja :
senin -sabtu jam 08 sd 18.00
Tunjangan :

Uang transport 

Insentif :

Bonus bila mencapai target",https://www.loker.id/penjualan/e-commerce/sales-marketplace-pt-surya-kreasi-pratama-jakarta-barat.html,"Posted Date: Januari 5, 2024"
"PT. BATTEN INDO ASIA","Admin Staff","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT BATTEN INDO ASIA adalah Perusahaan Perwakilan profesional pembuat Screw dan Barrel untuk mesin Industri plastik,PIPA & karet.
Pengalaman profesional dalam pemrosesan dan perancangan, kami dapat menyediakan perawatan teknologi nitride. Terutama, barrel dan Screw tunggal berkapasitas tinggi untuk film & pipa,kami merancang dan membuat produk sesuai dengan gambar pelanggan .

Tanggung Jawab Pekerjaan :

Melakukan input data.
Mengelola dokumen kantor.
Menerima panggilan telepon.
Mengarsip dan merekap data yang masuk.
Menyiapkan perlengkapan serta peralatan kantor.

Keahlian :

Mampu Mengaplikasikan Ms. excel&Ms. Word

Kualifikasi :

Wanita
Usia 22-28Thn
Pendidikan Min SMA
Pengalaman minimal 1 tahun

Waktu Bekerja :
Senin s/d Sabtu",https://www.loker.id/administrasi/staf-admin/admin-staff-pt-batten-indo-asia-jakarta-barat.html,"Posted Date: Januari 4, 2024"
"PT. PALMERAH MOTORINDO","Administrasi Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT PALMERAH MOTORINDO adalah perusahaan yang bergerak di bidang otomotif, kami adalah agen dealer resmi sepeda motor honda, Lokasi kami berada di jakarta barat tepatnya di palmerah dan jakarta timur tepatnya di cakung. Kami juga memiliki purna jual seperti bengkel dan penjualan suku cadang. Saat ini sedang membutuhkan Administrasi Staff yang bertugas untuk membantu eksekutif dalam hal mengorganisir dan memantau tugas administratif.

Tanggung Jawab Pekerjaan :

– Membuat laporan bulanan
– Data entry
– Follow up costumer data leads

Keahlian :

– Bisa mengoperasikan komputer dengan software ms dan excel
– Bisa berkomunikasi dengan cakap dan jelas
– Mampu membuat laporan

Kualifikasi :

– Pria/ Wanita
– Usia 18-25 tahun
– Pendidikan min SMA/SMK Sederajat
– Fresh graduate silahkan melamar

Waktu Bekerja :
Senin – Sabtu 08.00-17.00",https://www.loker.id/administrasi/staf-admin/administrasi-staff-pt-palmerah-motorindo-jakarta-barat.html,"Posted Date: Januari 4, 2024"
Alufur,"Staff Estimator","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","CV. Green Alu sedang membutuhkan Karyawan untuk posisi Staff Estimator.

Tanggung Jawab Pekerjaan :

– Menghitung penawaran dan gambarnya dengan AutoCAD 2D
– Melakukan Revisi sesuai diskusi dengan divisi Marketing dan Technical
– Melakukan Survey lapangan beserta Marketing
– Mempersiapkan detail bahan, Assesoris dan Gambar Autocad sesuai dengan kontrak pekerjaan untuk diteruskan kepada bagian Produksi

Keahlian :

– Menguasai AutoCAD minimal 2D
– Menguasai Microsoft Office

Kualifikasi :

– Berusia 21 – 35 Tahun
– Mempunyai Kendaraan Sendiri
– Setidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.
– Lebih disukai yang telah berpengalaman dibidang Kaca, Aluminium, Facade
– Dapat bekerja sebagai bagian dari Team yang mensupport Marketing

Waktu Bekerja :
Jam 08.30 – 17.00 Senin – Sabtu",https://www.loker.id/konstruksi-dan-bangunan/estimator/staff-estimator-alufur-jakarta-utara.html,"Posted Date: Januari 4, 2024"
"PT. MIKEDA KEBUT TERUSSS (OPTIK MIKEDA)","Sales Promotion Girl/ Boy","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT. Mikeda Kebut Terusss (Optik Mikeda)) membutuhkan staff Sales Promotion Girl/ Boy. Sales merupakan bagian dalam perusahaan yang bertanggung jawab untuk melakukan penjualan pada produk yang dimiliki perusahaan. Di saat yang sama, sales juga bertugas membuka peluang bisnis untuk perusahaan, sehingga bisa memperluas pasar atau cakupan dan saat ini perusahaan OPTIK MIKEDA sedang dalam tahap pengembangan usaha.

Tanggung Jawab Pekerjaan :

– Menawarkan produk dan menjual produk
– Pengetahuan akan produk
– Menaikan penghasilan Outlet
– Memberikan pelayanan prima ke customer

Keahlian :

– Memahami produk
– Kemampuan presentasi
– Dapat berkomunikasi dengan baik dan lancar
– Teknik closing sales 

Kualifikasi :

•	Pria dan Wanita dengan maksimal umur 30 tahun
•	Memiliki pendidikan minimal SMA/SMK/D1 dan lulusan sekolah sederajat
•       Mempunyai pengalaman minimal 1 tahun sebagai sales
•	Siap bekerja dengan orientasi target
•	Bersedia ditempatkan bekerja di luar jakarta

Waktu Bekerja :
Terbagi 2 shift (per shift 10 jam kerja)
Tunjangan :

Mendapatkan :
– BPJS Kesehatan dan Tenaga Kerja
– Tunjangan Makan
– Tunjangan Transport
– THR (Tunjangan Hari Raya)

Insentif :

Mendapatkan :
– Bonus Penjualan setiap produk perusahaan
– Bonus Toko (Jika Omset Naik)
– Bonus jasa pelayanan ke customer (review google positif & bintang 5 di google review)",https://www.loker.id/ritel/asisten-ritel/sales-promotion-girl-boy-pt-mikeda-kebut-terusss-optik-mikeda-jakarta-timur.html,"Posted Date: Januari 2, 2024"
"PT. MIKEDA KEBUT TERUSSS (OPTIK MIKEDA)","Kasir (Cashier)","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT. Mikeda Kebut Terusss (Optik Mikeda), Optik Mikeda berdiri sejak tahun 1979 dengan lokasi outlet pertama di rawamangun. Di dirikan oleh Pak Budi Hermawan (owner) yang diawali dengan membuka usaha kacamata dan juga toko roti. Dengan berjalannya waktu ternyata usaha kacamata lebih maju dengan kebutuhan paling dicari. Jadi pemilik memutuskan untuk hanya membuka optik yang menyediakan berbagai macam kacamata serta soflens sesuai dengan kebutuhan dan trend saat ini. Oleh karena itu, kami membutuhkan staff Kasir (Cashier) untuk bergabung dan berkembang bersama kami yang bertugas mengurus hal yang terkait dengan penerimaan pembayaran atau transaksi.

Tanggung Jawab Pekerjaan :

– Mengelola transaksi pelanggan
– Menerima kas dan mengembalikan uang kembalian
– Mengumpulkan berbagai jenis pembayaran
– Mengeluarkan bukti transaksi atau pembelian
– Melakukan silang produk dan perkenalkan produk baru
– Menyelesaikan keluhan pelanggan
– Menyapa pelanggan saat memasuki atau meninggalkan toko
– Menjaga area checkout yang bersih dan rapi
– Melacak aktivitas transaksi

Keahlian :

1. Kemampuan untuk menghitung penjualan dan berubah dengan cepat
2. Memiliki skill komunikasi verbal yang baik
3. Memiliki skill akuntabilitas dan akurasi dalam mengelola penerimaan penjualan
4. Memiliki pengetahuan tentang sistem point-of-sale

Kualifikasi :

– Wanita
– Pendidikan Min SMA / SM K & D3
– Usia Maks 30 tahun
– Berorientasi untuk melayani orang lain dan membantu pelanggan
– Mempunyai pengalaman sebagai kasir minimal 1 tahun (Wellcome to Fresh Graduate / Baru lulus)
– BERSEDIAKAN DI TEMPATKAN TUGAS DILUAR JAKARTA

Waktu Bekerja :
Terbagi 2 shift (pagi & Siang) – per shift 10 jam kerja
Tunjangan :

– Tunjangan Kasir
– Tunjangan Makan
– Tunjangan Transport
– BPJS Kesehatan dan Tenaga Kerja

Insentif :

– Bonus Pertengahan Tahun
– Bonus Akhir Tahun",https://www.loker.id/ritel/asisten-ritel/kasir-cashier-pt-mikeda-kebut-terusss-optik-mikeda-jakarta-timur.html,"Updated:  Januari 10, 2024"
"PT. Agung Mandiri sentosa","Admin Staff","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Agung Mandiri sentosa, perusahaan distribusi tisu , minyak goreng dan kebutuhan horeka lainnya saat ini membutuhkan  staff Administrasi untuk bergabung bersama kami dalam mengurusi kebutuhan administrasi perusahaan

Tanggung Jawab Pekerjaan :

Membuat surat jalan, invoice, input P.O
Mengelola kelengkapan dan kerapihan dokumen 

Keahlian :

Menguasai komputer.

Kualifikasi :

Wanita
Diutamakan dengan pengalaman 1 tahun. Fresh Graduate jg bisa apply.

Waktu Bekerja :
Senin-jumat 8:30 -17. Sabtu 8:30-14
Tunjangan :

BPJS",https://www.loker.id/administrasi/staf-admin/admin-staff-pt-agung-mandiri-sentosa-jakarta-utara.html,"Posted Date: Januari 2, 2024"
"PT. ERA BANGUNAN","Staff Purchasing","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Kami perusahaan yang bergerak dalam bidang perdagangan, mengajak saudara yang berpotensi untuk bergabung pada posisi sebagai PURCHASING STAFF, dengan deskripsi pekerjaan sebagai berikut :
•	Menyusun list pembelian barang
•	Mengkategorikan list pembelian antara pembelian barang bulanan dan sekali beli.
•	Menyusun list supplier penyedia barang
•	Meminta approval pembelian kepada manajemen untuk anggaran
•	Menghubungi supplier untuk mendapatkan penawaran harga
•	Menganalisa penawaran
•	Melakukan negosiasi harga
•	Membuat dan mengirim PO
•	Memastikan pengiriman berjalan baik
•	Pengecekan kualitas barang sesuai dengan pesanan
•	Dokumentasi dokumen-dokumen penjualan
•	Mediasi dengan bagian logistik untuk pencatatan barang masuk
•	Mediasi dengan bagian keuangan untuk pembayaran barang.

Tanggung Jawab Pekerjaan :

•	Memastikan kebutuhan perusahaan yang harus dibeli
•	Memastikan setiap pembelian sudah disetujui oleh manajemen
•	Memastikan bahwa barang tiba dengan kondisi baik dan tiba tepat waktu
•	Mediasi pembayaran dan memastikan pembayaran tepat waktu
•	Menjaga hubungan baik dengan supplier
•	Dokumentasi Invoice, Faktur, PO.

Keahlian :

•	Komunikasi yang baik
•	Negosiasi dengan supplier
•	Pencatatan dan dokumentasi terorganisir
•	Dapat mengoperasikan komputer (Excel, Ms. Word, PowerPoint)

Kualifikasi :

•	Lulusan SMA/ SMK
•	Perempuan, usia maksimal 25 Tahun
•	Lebih diutamakan menguasai bahasa Inggris (lisan dan tulisan)
•       Pengalaman minimal 2 tahun dibidangnya

Waktu Bekerja :
Pukul 08.30-17.00
Tunjangan :

Uang Makan
Tunjangan Hari Raya",https://www.loker.id/transportation-logistics/purchasing-pembelian/staff-purchasing-pt-era-bangunan-jakarta-barat.html,"Posted Date: Desember 29, 2023"
Ruangprint,"Staff CS Markom","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","Ruangprint adalah perusahaan yang bergerak pada bidang digital printing. Saat ini Ruangprint sedang membutuhkan kandidat baru untuk bergabung sebagai Staff CS Markom yang diharapkan mampu membantu Ruangprint mencapai tujuannya.

Tanggung Jawab Pekerjaan :

– Melayani pelanggan pada market place
– Membuat penawaran kepada pelanggan
– Membantu melakukan proses promosi perusahaan
– Membantu membuat kebutuhan konten

Keahlian :

– Memiliki kemampuan komunikasi yang baik
– Memahami soal sosial media dan market palce

Kualifikasi :

– Perempuan
– usia 18 – 26 Tahun
– fresh graduate silahkan melamar

Waktu Bekerja :
Jam 08:30 – 17:30, Senin – Jumat | Jam 08:30 – 15:00, Sabtu
Tunjangan :

Uang Makan
Uang Lembur

Insentif :

Insentif Kerajinan",https://www.loker.id/pemasaran/komunikasi-pemasaran/staff-cs-markom-ruangprint-jakarta-barat.html,"Posted Date: Desember 29, 2023"
Ruangprint,"Cleaning Service","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","Ruangprint adalah bidang usaha yang bergerak di Digital Printing. Kami saat ini membuka lowongan pekerjaan sebagai Cleaning Service. Kami membutuhkan Staff Cleaning Service yang dapat melakukan kegiatan kebersihan dengan baik.

Tanggung Jawab Pekerjaan :

* Membersihkan ruang kerja
* Membantu memenuhi kebutuhan kantor
* Membantu finishing produksi

Keahlian :

– Mampu menjaga kebersihan lingkungan kerja

Kualifikasi :

– Pria
– Usia 18 – 25 tahun
– Non Pengalaman

Waktu Bekerja :
Jam 08:30 – 17:30, Senin – Jumat | Jam 08:30 – 15:00, Sabtu
Tunjangan :

Uang Makan

Insentif :

Insentif Kerajinan
Uang Lembur",https://www.loker.id/pekerjaan-umum/cleaning-service/cleaning-service-ruangprint-jakarta-barat.html,"Posted Date: Desember 29, 2023"
"PT. Takawa Multi Global","Staff Administrasi Keuangan","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Takawa berfokus kepada penjulan online berupa produk alat masak kepada customer. saat ini kami membuka lowongan kerja untuk mengisi posisi sebagai Staff Administrasi Keuangan

Tanggung Jawab Pekerjaan :

– Membuat laporan bulanan
– Mengurus surat-surat, dan dokumen lainnya
– Melakukan koordinasi dengan fungsi lain untuk pencapaian komunikasi administrasi yang baik

Keahlian :

– Menguasai Microsoft office, Jurnal dll
– Mengerti tentang perpajakan
– memahami microsoft

Kualifikasi :

Diutamakan memiliki laptop sendiri
Wanita
Pengalaman minimal 1 tahun

Waktu Bekerja :
senin-sabtu",https://www.loker.id/administrasi/staf-admin/staff-administrasi-keuangan-pt-takawa-multi-global-jakarta-utara.html,"Posted Date: Desember 21, 2023"
"MBC Group","Tax Accounting","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Kami salah satu perusahaan konsultan keuangan membutuhakn jasa tax accounting staff. 

Tanggung Jawab Pekerjaan :

Menghitung Petty Cash
Menghitung dana omset harian
membuat laporan omset harian
membuat laporan omset mingguan dan bulanan 

Keahlian :

menguasai microsoft word dan excel
memiliki kemampuan menghitung yang baik 

Kualifikasi :

Usia mulai dari 18 tahun – 35 tahun
Memiliki pengalaman min 2 tahun
Pendidikan minimal SMA sederajad

Waktu Bekerja :
senin- jumat jam 9 pagi – 6 sore
Insentif :

Bonus dan THR",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/tax-accounting-mbc-group-jakarta-barat.html,"Updated:  Februari 28, 2024"
"PT SUN LOGISTICS","Finance Staff","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Established in 2011, PT. Sun Logistics came as a solution for the high logistics demands in Indonesia. PT. Sun Logistics has grown into a responsive and competent logistics company according to founder of PT. Sun Logistics who wants to provide fast, friendly, and continuously innovating services.
Currently, PT. Sun Logistics has increased our business network by having a large number of Experts, Warehouses and Vehicles ready to serve export-import cargo shipments, domestic shipments, and other logistics needs.

Tanggung Jawab Pekerjaan :

1. Bertanggungjawab atas seluruh transaksi keuangan perusahaan
2. Memproses dan mengarsipkan seluruh dokumen tagihan (pembayaran, pajak, dll)
3. Merekap pengeluaran dan pemasukan perusahaan
4. Membuat laporan keuangan harian, mingguan, dan bulanan
5. Mengelola Petty Cash

Keahlian :

1. Accurate
2. Menguasai Microsoft Office (Word, Excel, Outlook, Power Point)
3. Memiliki pengetahuan di bidang Finance, Tax, Perbankan, dan Accounting

Kualifikasi :

1. Usia maksimal 35 tahun
2. Lulusan minimal SMA/sederajat
3. Berpengalaman di bidang terkait minimal 1 tahun
4. Dapat berkomunikasi dengan baik dan mampu bekerja secara individu maupun dalam tim
5. Berdomisili di Jakarta Utara dan sekitarnya (Kelapa Gading)
6. Telah melakukan vaksinasi ketiga/booster COVID-19

Waktu Bekerja :
Senin – Jumat (09.00-18.00)",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/finance-staff-pt-sun-logistics-jakarta-utara.html,"Posted Date: Desember 19, 2023"
